Allah Teâlâ, insanların alemlerin Rabbinin huzurunda duracakları kıyamet gününe yemin etmiştir.
Yüce Allah kendisini salih amellerdeki kusurlarından ve yaptığı kötülüklerden ötürü kınayan iyi nefse yemin etmiştir. İnsanları, hesap vermek ve karşılık görmek için dirilteceği bu iki durum adına yemin etmiştir.
İnsanoğlu, ölümünden sonra yeniden diriliş için kemiklerini bir araya getiremeyeceğimizi mi sanıyor?
Kesinlikle evet! Dosdoğru bir yaratılışla parmaklarının çevresini/uçlarını eskisinde olduğu gibi bir araya getirmeye bile gücümüz yeter.
Bilâkis insan, yeniden dirilişi inkâr ederek içinde bulunduğu hatalara hiç ara vermeden gelecekte de devam etmek ister.
Bunu imkânsız görerek kıyamet gününün ne zaman kopacağını soruyorlar.
Yalanladığı şeyi gören göz, şaşırıp dehşete kapıldığı zaman.
Ayın ışığı kaybolduğu zaman.
Güneş ve Ay'ın kütlesi birleştiği zaman.
O gün günahkâr insanlar şöyle diyecek: "Kaçış nereye?"
O gün hiçbir yere kaçamazlar. Günahkâr kimselerin ne barınabileceği bir barınak, ne de sığınabileceği bir sığınak vardır.
-Ey Peygamber!- O gün hesap görmek ve karşılığını almak üzere, dönüş ve varış yeri yalnız Rabbinin huzurudur.
O gün insana, yaptığı ve yapmadığı ameller haber verilir.
Doğrusu insan, azalarının işlemiş olduğu günahlara şahitlik etmesi sebebiyle kendi aleyhine şahitlik edecektir.
Kendisini savunduğu mazeretleri getirse bile, şüphesiz yaptığı kötülüklerin ona bir faydası olmaz.
-Ey Peygamber!- Senden hiçbir şey kaçmasın diye, Kur'an okurken dilini aceleyle hareket ettirme.
Şüphesiz onu, senin kalbinde toplamamız ve okunuşunu dilinde sabit kılmamız bizim sorumluluğumuzdur.
Cebrail onu sana okuduğunda susup, onun kıraatini dinlemen gerekir.
Sonra, onun sana tefsir edilmesi de yine bize aittir.
Kesinlikle hayır! Durum, sizin yeniden dirilişin imkânsız olduğunu iddia ettiğiniz gibi değildir. Siz, çok iyi biliyorsunuz ki sizleri yoktan yaratmaya kadir olan, ölümünüzün ardından size tekrar hayat vermekten de aciz değildir. Oysa sizin yeniden dirilişi inkâr etmenizin gerçek sebebi, çabucak geçiveren dünya hayatına olan sevginizdir.
Allah’ın size emrettiği ibadetleri yerine getirmek ve size yasakladığı haramları terk etmekle ulaşılan ahiret hayatını ise terk ediyorsunuz.
O gün, iman ve saadet ehli kimselerin yüzleri nur içinde parlar.
Bundan zevk duyarak Rablerine bakarlar.
O gün, kâfir ve bedbaht kimselerin yüzleri ise asıktır.
Başlarına çok büyük bir cezanın ve elem verici bir azabın geleceğini kesin olarak bilirler.
Durum, öldükleri zaman azap görmeyeceklerini zanneden müşriklerin düşündükleri gibi değildir. Onlardan birinin canı, göğsünün en üstüne ulaştığında.
İnsanlar birbirine şöyle dediğinde: "Şifa bulması için bunu kim okur?"
Can çekişmekte olan kimse o zaman, ölümüyle birlikte dünyadan kesin olarak ayrılmakta olduğunu kesin olarak anladığında.
Dünyanın sonunda ve ahiretin başlangıcında sıkıntılar bir araya toplandığında.
İşte bunlar meydana gelince, ölen kimse Rabbinin huzuruna getirilir.
O kâfir, Peygamberin getirdiklerini tasdik etmemiş ve Allah Teâlâ için namaz kılmamıştı.
Fakat Peygamberin getirdiklerini yalanlamış ve ondan yüz çevirmişti.
Bu kâfir, sonra da kibrinden yürüyüşünde böbürlenerek ailesine gitmişti.
Allah Teâlâ, azabının peşine düşmesi ve çok yaklaşmasıyla kâfire gözdağı vermiştir.
Ardından cümleyi tekit etmek için tekrarlamış ve; "Sonra yine layıksın, sana layıktır." diye buyurmuştur.
Yoksa insan, Yüce Allah’ın onu bir din ile sorumlu kılmadan başıboş bıraktığını mı zannediyor?
Bu insan, bir zamanlar rahme akıtılan bir meni damlası değil miydi?
Bunun ardından donmuş bir kan pıhtısı oldu. Sonra da Allah, onu yarattı ve onun şeklini düzenledi.
Sonra da onun türünden, erkek ve kadın iki cins yarattı.
İnsanları bir meni damlası ve kan pıhtısından yaratan, hesap görmek ve karşılıklarını vermek üzere ölüleri yeni baştan diriltmeye kâdir değil midir? Tabi ki evet! Muhakkak O'nun bunu yapmaya gücü yeter.
