Rahman geniş rahmet sahibidir.
Ezberinin ve manasının kolay anlaşılır olması ile insanlara Kur'an'ı öğretti.
İnsanı kusursuz yarattı ve suretini güzelleştirdi.
Gönlündekini söz ve yazı olarak nasıl beyan edeceğini öğretti.
İnsanların, yılların sayısını ve hesabını bilmesi için Güneş ve Ay kesin bir ilim ile takdir edildikleri gibi hareket etmektedirler.
Gövdesi olmayan bitkiler ve ağaçlar boyun eğerek ve teslim olarak Allah -Subhanehu ve Teâlâ-'ya secde ederler.
(Allah) Göğü, yeryüzünün çatısı olması için yükseltti, yeryüzünde adaleti koydu ve bunu kullarına emretti.
-Ey insanlar!- Ölçü ve tartıda zulmetmemeniz ve hainlik yapmamanız için adaleti koydu.
Aranızda tartıyı adaletle gerçekleştirin. Başkaları için ölçtüğünüz ve tarttığınız zaman ölçü ve tartıyı eksiltmeyiniz.
Canlıların üzerinde istikrar etmesi için (Allah) yeryüzünü hazır hale getirmiştir.
Orada meyve veren ağaçlar ve salkımlı hurma ağaçları vardır.
Orada buğday ve arpa gibi sapları olan daneler ve kokusundan hoşlandığınız bitkiler vardır.
O halde siz (insan ve cin topluluğu), Allah'ın size bahşettiği o bol nimetlerden hangisini yalanlıyorsunuz?
Allah, Adem -aleyhisselam-'ı aynı pişirilmiş çamur gibi kurumuş çamurdan yarattı.
Cinlerin babasını (İblis'i de) dumansız has ateşten yarattı.
O halde siz (insan ve cin topluluğu), Allah'ın size bahşettiği o bol nimetlerden hangisini yalanlıyorsunuz?
Kış ve yaz ayında Güneş'in iki doğuş ve iki batış yerinin Rabbidir.
O halde siz (insan ve cin topluluğu), Allah'ın size bahşettiği o bol nimetlerden hangisini yalanlıyorsunuz?
Yüce Allah, suları tuzlu ve tatlı olan iki denizi gözün göreceği şekilde kavuşması için birbirine katmıştır.
Her ikisi arasında birinin diğerine baskın gelmemesi; tatlı olanın tatlı ve tuzlu olanın da tuzlu kalması için engel vardır.
O halde siz (insan ve cin topluluğu), Allah'ın size bahşettiği o bol nimetlerden hangisini yalanlıyorsunuz?
Bu iki denizin birleştiği yerden büyük, küçük inciler çıkar.
O halde siz (insan ve cin topluluğu), Allah'ın size bahşettiği o bol nimetlerden hangisini yalanlıyorsunuz?
Denizde yüksek dağlar gibi yükselmiş yüzüp, giden gemilerin tasarrufu da yalnızca Allah -Subhanehu ve Teâlâ-'ya aittir.
O halde siz (insan ve cin topluluğu), Allah'ın size bahşettiği o bol nimetlerden hangisini yalanlıyorsunuz?
Yeryüzünde bulunan bütün canlılar kesinlikle yok olacaktır.
-Ey Rasûl!- Kullarına lütufta ve ihsanda bulunan azamet sahibi Rabbinin yüzü bakidir. Kesinlikle fani olmak O'na isabet etmez.
O halde siz (insan ve cin topluluğu), Allah'ın size bahşettiği o bol nimetlerden hangisini yalanlıyorsunuz?
Göklerde bulunan her melek ve yeryüzünde bulunan her insan ve cin ihtiyaçlarını O'ndan isterler. O; her gün yaratma, öldürme, rızık vb. gibi kullarının işleri için bir ilahi tasarruftadır.
O halde siz (insan ve cin topluluğu), Allah'ın size bahşettiği o bol nimetlerden hangisini yalanlıyorsunuz?
-Ey insanlar ve cinler!- Sizin hesabınızı göreceğiz. Herkese hak ettiğinin karşılığı olan mükâfatı ve cezayı vereceğiz.
O halde siz (insan ve cin topluluğu), Allah'ın size bahşettiği o bol nimetlerden hangisini yalanlıyorsunuz?
Kıyamet günü insanları ve cinleri bir araya topladığında Yüce Allah şöyle diyecektir: "Ey insan ve cin toplulukları! Göklerde ve yerde çıkmak için kendinize bir yer bulabiliyorsanız hiç durmayın bunu yapın. Büyük bir güç ve mucize olmadan bunu yapmaya güç yetiremezsiniz, bunu nasıl yapacaksınız?"
O halde siz (insan ve cin topluluğu), Allah'ın size bahşettiği o bol nimetlerden hangisini yalanlıyorsunuz?
-Ey insanlar ve cinler!- Üzerinize yalın alev ve alevi olmayan duman gönderilir de ondan kaçınmaya güç yetiremezsiniz.
O halde siz (insan ve cin topluluğu), Allah'ın size bahşettiği o bol nimetlerden hangisini yalanlıyorsunuz?
Meleklerin inmesi için gök yarılıp da, kızarıp rengi parlayan yağ gibi olduğu zaman.
O halde siz (insan ve cin topluluğu), Allah'ın size bahşettiği o bol nimetlerden hangisini yalanlıyorsunuz?
İşte o büyük gün Yüce Allah'ın onların neler yaptıklarını çok iyi bilmesinden dolayı hiçbir insana ve cine günahı sorulmaz.
O halde siz (insan ve cin topluluğu), Allah'ın size bahşettiği o bol nimetlerden hangisini yalanlıyorsunuz?
